FID_1_1,DBA_Edited,Yelp_Name,NOT_FOUND,CLOSED,Temp_CLOSE,TempOrPerm,Years_Open,GasStation,DollarStor,ChainFastF,PRIMARY_LI,Secondary_,ADDRESS,City,State,FullAddres,Lat,Long,lname,GEOID,BUFF_DIST,Count_Closed,Count_Open,Bus_Tot,Prop_Closed,DistDowntown
24,100-Westminster-Partners,100 Westminster Partners,1,0,0,0,NA,0,0,0,Parking,,30 Kennedy Plaza,Providence,RI,"30 Kennedy Plaza, Providence, RI",41.8251963,-71.4104901,Downtown,44007000800,0.25,6,78,84,0.071,0
237,3-STAR-MARKET,3 STAR MARKET,1,0,0,0,NA,0,0,0,FoodDisp,,334 Broadway St,Providence,RI,"334 Broadway St, Providence, RI",41.8197702,-71.4286803,Federal Hill,44007001100,0.25,0,20,20,0,0.597115429
457,401-Nutrition,401 Nutrition,0,0,0,0,NA,0,0,0,FoodDisp,,1224 Smith St,Providence,RI,"1224 Smith St, Providence, RI",41.8458708,-71.4519205,Mount Pleasant,44007002400,0.25,0,1,1,0,2.577838886
844,401-Pizza,401 Pizza,0,0,0,0,NA,0,0,0,FoodDisp,,609 Elmwood Ave,Providence,RI,"609 Elmwood Ave, Providence, RI",41.7954078,-71.4249966,Elmwood,44007000200,0.25,0,10,10,0,1.621452876
25,43-Weybosset-Street,43 Weybosset Street,1,0,0,0,NA,0,0,0,Parking,,43 Weybosset St,Providence,RI,"43 Weybosset St, Providence, RI",41.8240966,-71.409879,Downtown,44007000800,0.25,6,82,88,0.068,0
713,71-Milk-Store,71 Milk Store,1,0,0,0,NA,0,0,0,FoodDisp,,71 Hope St,Providence,RI,"71 Hope St, Providence, RI",41.8206801,-71.3956973,Fox Point,44007003700,0.25,3,27,30,0.1,0.603569903
26,7-Eleven,7-Eleven,0,0,0,0,NA,1,0,0,FoodDisp,,10 Dorrance St,Providence,RI,"10 Dorrance St, Providence, RI",41.8239722,-71.4118003,Downtown,44007000800,0.25,6,104,110,0.055,0
27,7-Eleven,7-Eleven,0,0,0,0,NA,1,0,0,FoodDisp,,141 Weybosset St,Providence,RI,"141 Weybosset St, Providence, RI",41.8228207,-71.4115579,Downtown,44007000800,0.25,7,107,114,0.061,0
831,7-Eleven,7-Eleven,0,0,0,0,NA,1,0,0,FoodDisp,,270 Broad St,Providence,RI,"270 Broad St, Providence, RI",41.8154117,-71.4201031,Upper South Providence,44007000700,0.25,0,19,19,0,0.266105752
519,7-Eleven,7-Eleven,0,0,0,0,NA,1,0,0,FoodDisp,,460 Smith St,Providence,RI,"460 Smith St, Providence, RI",41.8352609,-71.4264456,Smith Hill,44007002500,0.25,0,19,19,0,0.668201713
